#from Haliday+2006

247	00 42 27.00	+40 49 40.5	-452.2 	8.2	26.67
248	00 42 27.14	+41 14 54.4	-492.6 	4.6 	3.46
249	00 42 27.18	+41 14 34.2	-341.7 	4.6 	3.59
250	00 42 27.76	+41 16 19.2	-321.4 	4.6 	3.12
251	00 42 27.77	+41 16 30.7	-450.4 	4.6 	3.13
252	00 42 28.22	+41 17 35.7	-313.5 	6.4 	3.36
253	00 42 28.31	+41 09 56.0	-321.5 	4.6 	6.90
254	00 42 28.33	+41 15 28.9	-399.6 	4.6 	3.08
255	00 42 28.46	+41 09 34.3 	39.9 	4.6 	7.22
256	00 42 28.77	+41 08 49.5	-350.6 	6.4 	7.88
257	00 42 28.93	+40 44 38.6	-160.3 	8.2	31.63
258	00 42 28.94	+41 07 12.7	-523.9	11.6 	9.39
259	00 42 28.96	+41 11 37.0	-281.3 	4.6 	5.37
260	00 42 29.06	+41 15 16.1	-238.8 	4.3 	3.00
261	00 42 29.47	+41 10 49.6	-136.3 	4.6 	6.00
262	00 42 29.54	+41 14 04.2	-277.4 	4.6 	3.47
263	00 42 29.67	+41 13 51.8	-507.7 	4.6 	3.57
264	00 42 29.75	+41 03 30.2	-468.6 	6.0	12.93
265	00 42 30.58	+40 34 46.5 	256.0 	9.9	41.45
266	00 42 30.73	+41 17 52.9	-310.0 	6.4 	3.09
267	00 42 31.00	+41 16 24.9 	-94.6 	4.6 	2.52
268	00 42 31.05	+40 53 04.4	-411.0 	6.3	23.20
269	00 42 31.32	+41 10 29.0	-478.8 	4.6 	6.16
270	00 42 31.98	+41 17 31.9	-137.7 	6.4 	2.70
271	00 42 32.18	+40 33 58.3 	226.8 	6.0	42.23
272	00 42 32.51	+41 15 58.3	-257.0 	4.6 	2.23
273	00 42 32.57	+41 10 14.3	-580.7 	4.6 	6.30
274	00 42 32.76	+41 16 32.4	-394.1 	4.6 	2.21
275	00 42 33.21	+41 16 49.1	-482.7 	4.6 	2.19
276	00 42 34.12	+41 15 04.4	-341.0 	4.6 	2.20
277	00 42 34.49	+41 09 14.8	-496.0 	4.6 	7.14
278	00 42 34.54	+41 09 15.8	-489.2	13.5 	7.12
279	00 42 34.96	+41 08 15.4	-487.4 	4.6 	8.08
280	00 42 35.26	+41 14 45.9	-259.2 	4.6 	2.19
281	00 42 35.73	+41 18 23.0	-232.1 	6.4 	2.76
282	00 42 35.77	+41 11 01.0	-259.7 	4.6 	5.37
283	00 42 36.41	+41 16 56.9	-322.8 	4.6 	1.69
284	00 42 36.92	+41 12 09.4	-597.1 	4.6 	4.22
285	00 42 37.08	+41 14 35.1	-503.0 	4.6 	2.07
286	00 42 37.19	+41 16 26.3	-339.5 	6.4 	1.37
287	00 42 37.74	+41 16 43.0	-301.0 	4.6 	1.36
288	00 42 38.03	+41 13 44.1	-288.2 	4.6 	2.68
289	00 42 38.13	+41 09 55.1	-474.2 	4.6 	6.33
290	00 42 38.27	+41 15 33.3	-374.0 	4.6 	1.28
291	00 42 38.34	+41 09 58.5	-483.2 	4.6 	6.27
292	00 42 38.35	+41 14 27.2	-267.5 	4.6 	2.03
293	00 42 38.38	+41 14 34.2	-492.9 	4.6 	1.93
294	00 42 38.53	+41 11 17.5	-369.0 	4.6 	4.97
295	00 42 39.53	+41 18 31.1	-257.8 	3.7 	2.54
296	00 42 39.80	+41 17 03.0	-207.6 	6.4 	1.24
297	00 42 40.19	+41 18 41.6	-359.4 	4.6 	2.67
298	00 42 40.21	+40 51 02.3	-147.5 	8.2	25.12
299	00 42 40.24	+41 13 50.6	-199.6 	6.4 	2.42
300	00 42 40.25	+41 19 05.5	-744.8	13.5 	3.05
301	00 42 40.39	+41 11 33.2	-444.0 	4.6 	4.65
302	00 42 40.70	+41 14 09.7	-253.2 	4.6 	2.09
303	00 42 41.23	+41 19 08.4	-142.2 	6.4 	3.05
304	00 42 41.31	+41 18 20.5	-334.9 	6.4 	2.27
305	00 42 41.36	+41 17 48.8	-549.9 	4.6 	1.76
306	00 42 41.44	+41 18 11.8	-218.6	13.3 	2.12
307	00 42 41.50	+41 09 58.5	-595.6 	4.6 	6.19
308	00 42 41.99	+41 56 56.1	-113.6	11.6	40.79
309	00 42 42.11	+41 14 09.1	-308.6 	4.6 	2.03
310	00 42 42.34	+41 15 53.1	-604.5 	4.6 	0.45
311	00 42 42.83	+41 09 46.5	-363.0 	4.6 	6.37
312	00 42 42.89	+41 09 22.0	-348.3 	4.6 	6.78
313	00 42 43.79	+41 16 00.9	-251.9 	6.4 	0.16
314	00 42 43.84	+41 10 46.3	-244.1 	4.6 	5.37
315	00 42 43.88	+41 09 00.0	-375.3 	4.6 	7.14
316	00 42 44.94	+41 12 11.0	-356.6 	4.6 	3.96
317	00 42 45.44	+41 19 18.2	-174.5 	3.3 	3.17
318	00 42 45.45	+41 19 57.1	-328.6 	6.4 	3.82
319	00 42 45.60	+40 59 21.3	-329.3 	6.0	16.79
320	00 42 45.97	+41 16 24.1	-212.1 	4.6 	0.40
321	00 42 46.01	+41 18 24.8	-198.5 	4.5 	2.29
322	00 42 46.18	+41 16 41.0	-492.0 	4.6 	0.64
323	00 42 46.66	+41 13 16.0	-414.3 	4.6 	2.91
324	00 42 46.72	+41 14 21.0	-185.2 	4.6 	1.85
325	00 42 47.22	+41 11 32.5	-307.5 	6.4 	4.63
326	00 42 47.29	+41 11 39.5	-498.8 	8.2 	4.52
327	00 42 47.55	+41 16 21.3	-337.1 	4.6 	0.64
328	00 42 47.58	+41 11 27.1	-296.4 	4.6 	4.73
329	00 42 47.58	+41 14 59.3	-524.7 	6.4 	1.31
330	00 42 47.62	+41 21 01.1	-169.9	13.3 	4.92
331	00 42 47.65	+41 13 47.9	-146.2 	4.6 	2.43
332	00 42 47.92	+41 20 58.9	-150.9 	4.6 	4.89
333	00 42 48.22	+41 17 33.9	-492.0 	6.4 	1.60
334	00 42 48.91	+41 15 23.9	-565.7 	4.6 	1.14
335	00 42 48.94	+41 16 55.5	-111.2 	3.3 	1.17
336	00 42 49.44	+41 22 10.3	-312.9 	3.3 	6.11
337	00 42 49.58	+41 16 49.9	-280.1 	6.4 	1.20
338	00 42 49.65	+41 18 40.8	-165.9 	4.6 	2.73
339	00 42 49.82	+41 20 07.6	-269.3 	4.6 	4.12
340	00 42 49.88	+40 51 10.2	-525.7	11.6	24.99
341	00 42 50.62	+40 45 27.9	-183.3 	6.0	30.70
342	00 42 50.90	+41 14 47.2	-338.4 	4.6 	1.83
343	00 42 51.34	+41 15 56.2	-400.4 	6.4 	1.33
344	00 42 51.78	+41 58 46.2	-241.7 	8.2	42.65
345	00 42 52.11	+41 17 24.4	-223.1 	4.6 	1.93
346	00 42 52.60	+41 20 22.6	-201.0 	3.7 	4.51
347	00 42 52.68	+41 21 03.2	-243.1 	4.6 	5.16
348	00 42 52.71	+41 14 15.6	-601.8 	4.6 	2.46
349	00 42 52.79	+41 20 18.9	-206.1 	4.6 	4.47
350	00 42 53.02	+40 48 59.5	-207.5 	6.0	27.20
351	00 42 53.03	+40 58 18.8	-346.9 	8.2	17.90
352	00 42 53.35	+41 18 17.0	-120.3 	4.6 	2.73
353	00 42 53.37	+41 16 27.9	-270.6 	4.6 	1.73
354	00 42 53.43	+41 19 51.7	-211.7 	4.6 	4.09
355	00 42 53.53	+41 17 33.8	-450.4 	4.6 	2.24
