# col1     col2    col3    col4    col5   col6 col7 col8 col9 col10 col11
  151.3735 -7.6507 337.46  -6.19   732.0  0.71 0.98 0.67 0.0  2.0   139.0
  151.3556 -7.6922 186.22  53.42   895.0  0.48 0.04 0.83 0.0  1.0   140.0
  151.3882 -7.6754 310.68  93.69   718.0  0.72 0.82 1.04 0.0  3.0   141.0
  151.2948 -7.7263 -53.53  -14.97  610.0  0.64 0.81 1.04 0.0  1.0   142.0
  151.3362 -7.6921 137.78  3.59    886.0  0.52 0.03 0.79 0.0  1.0   143.0
  151.2892 -7.7723 -185.5  87.14   518.0  0.5  0.21 0.81 0.0  2.0   144.0
  151.2861 -7.7025 -14.44  -97.29  433.0  0.37 0.39 1.14 5.0  1.0   145.0
  151.3148 -7.6755 126.69  -92.67  957.0  0.43 0.0  0.78 0.0  2.0   146.0
  151.2773 -7.6724 40.71   -195.78 770.0  0.8  0.81 0.67 0.0  4.0   147.0
  151.3293 -7.7393 -0.47   105.71  925.0  0.4  0.04 0.77 5.0  2.0   148.0
  151.2928 -7.7982 -243.06 161.7   710.0  0.81 0.95 1.12 0.0  3.0   149.0
