A216   190.9827977 +11.5487358 24.590  0.040 22.978  0.033  1.612  0.052
A217   191.0014457 +11.5708238 23.932  0.026 22.972  0.031  0.960  0.041
A218   190.9654537 +11.5715966 23.888  0.027 22.993  0.035  0.895  0.045
A220   190.9323706 +11.5696424 24.772  0.055 22.987  0.045  1.786  0.071
A224   190.9374978 +11.5593085 24.329  0.029 23.079  0.030  1.241  0.042
A226   190.9298343 +11.5653227 24.444  0.035 23.048  0.020  1.454  0.040
A228   190.9604678 +11.5840717 24.376  0.035 23.061  0.035  1.315  0.050
A230   190.9396891 +11.5643529 24.320  0.032 23.080  0.024  1.218  0.040
A232   190.9660327 +11.5440914 23.923  0.027 23.082  0.039  0.840  0.048
A234   190.9523890 +11.5453142 24.398  0.041 23.112  0.051  1.287  0.066
A236   190.9377176 +11.5541966 24.551  0.044 23.147  0.065  1.362  0.078
A237   190.9632800 +11.5860807 24.598  0.040 23.147  0.037  1.451  0.054
A240   190.9579843 +11.5901888 24.398  0.035 23.151  0.037  1.247  0.051
A241   190.9422911 +11.5538328 24.736  0.060 23.154  0.056  1.583  0.082
A242   190.9629399 +11.5525492 24.021  0.030 23.157  0.045  0.864  0.055
A243   190.9905478 +11.5653437 24.219  0.030 23.166  0.037  1.053  0.048
A244   190.9732363 +11.5698119 24.497  0.040 23.166  0.039  1.331  0.056
A246   190.9364383 +11.5583689 24.127  0.023 23.153  0.032  1.006  0.040
A247   190.9460184 +11.5471724 24.119  0.034 23.186  0.052  0.934  0.062
A248   190.9403309 +11.5528607 24.492  0.035 23.197  0.063  1.296  0.072
A250   190.9442167 +11.5589900 24.624  0.048 23.249  0.040  1.504  0.062
A251   190.9534669 +11.5766224 24.058  0.029 23.246  0.041  0.812  0.050
A252   190.9483805 +11.5625362 24.878  0.058 23.254  0.049  1.624  0.076
A253   190.9575978 +11.5493145 23.876  0.027 22.872  0.035  1.003  0.045
A254   190.9409695 +11.5800764 24.282  0.034 23.373  0.050  0.909  0.060
A256   190.9665869 +11.6011130 24.218  0.030 23.267  0.037  0.951  0.048
A257   190.9428538 +11.5492122 24.859  0.063 23.325  0.065  1.534  0.090
A258   190.9532086 +11.5675601 24.464  0.040 23.292  0.047  1.172  0.062
A260   190.9459919 +11.5772603 25.020  0.070 23.301  0.054  1.718  0.088
A261   190.9545682 +11.5454912 24.182  0.034 23.215  0.047  0.967  0.059
A262   190.9557173 +11.5423100 24.633  0.045 23.359  0.052  1.274  0.069
A263   190.9972417 +11.5693922 24.735  0.043 23.327  0.039  1.408  0.058
A264   190.9344942 +11.5725287 24.406  0.031 23.337  0.042  1.021  0.052
A265   190.9424278 +11.5681835 24.426  0.028 23.378  0.042  1.117  0.050
A266   191.0019326 +11.5626010 24.323  0.034 23.325  0.041  0.998  0.053
A267   190.9444761 +11.5569543 23.906  0.035 23.105  0.060  0.793  0.069
A268   190.9582334 +11.5679101 24.718  0.049 23.369  0.049  1.350  0.070
A269   190.9653489 +11.5610093 24.381  0.040 23.370  0.047  1.011  0.062
A271   190.9492596 +11.5572311 24.722  0.052 23.362  0.058  1.359  0.078
A272   190.9648697 +11.5502292 25.096  0.070 23.373  0.049  1.723  0.085
A273   190.9708735 +11.5730642 24.170  0.034 22.889  0.035  1.281  0.049
A274   190.9599527 +11.5703588 24.964  0.055 23.418  0.049  1.546  0.074
A275   190.9978392 +11.5619787 24.593  0.038 23.413  0.041  1.180  0.056
A277   190.9764371 +11.5642927 24.784  0.047 23.313  0.041  1.471  0.063
A278   190.9558430 +11.5701870 24.359  0.037 23.416  0.049  0.943  0.061
A279   190.9530417 +11.5414730 24.513  0.042 23.403  0.056  1.110  0.070
A281   190.9737581 +11.5478490 25.064  0.058 23.419  0.047  1.645  0.075
A282   190.9548017 +11.5751981 24.993  0.055 23.431  0.047  1.562  0.073
A286   190.9429538 +11.5562327 24.794  0.041 23.578  0.034  1.280  0.054
A287   190.9876464 +11.5594641 24.874  0.049 23.465  0.045  1.409  0.067
A288   190.9655743 +11.5724660 24.537  0.040 23.459  0.049  1.078  0.063
A290   190.9686596 +11.5581480 24.310  0.037 23.479  0.051  0.831  0.063
A291   190.9574617 +11.5440641 24.800  0.053 23.389  0.051  1.411  0.074
A294   190.9350199 +11.5568439 25.062  0.086 23.570  0.049  1.515  0.099
A295   190.9581734 +11.5746017 24.697  0.046 23.524  0.051  1.173  0.069
A296   190.9777526 +11.5541606 24.387  0.035 23.526  0.051  0.861  0.062
A298   190.9752154 +11.5528875 24.619  0.043 23.534  0.053  1.085  0.068
A299   190.9360468 +11.5654002 24.576  0.046 23.547  0.078  1.030  0.091
A301   190.9826255 +11.5679334 24.530  0.038 23.580  0.053  0.950  0.066
A302   190.9452231 +11.5818537 24.695  0.043 23.574  0.051  1.121  0.067
A303   190.9950780 +11.5624289 24.673  0.041 23.590  0.049  1.084  0.064
A304   190.9656749 +11.5475544 25.050  0.063 23.613  0.062  1.437  0.088
A305   190.9587563 +11.5771731 24.573  0.040 23.616  0.053  0.957  0.067
A306   190.9504532 +11.5438613 24.739  0.055 23.587  0.070  1.153  0.089
A307   190.9728156 +11.5466378 24.886  0.052 23.632  0.058  1.255  0.078
A308   190.9720956 +11.5741665 24.867  0.054 23.633  0.058  1.234  0.079
A310   190.9550744 +11.5513446 24.906  0.062 23.671  0.066  1.234  0.090
A311   190.9809392 +11.5797878 24.599  0.046 23.670  0.058  0.929  0.074
A312   190.9574923 +11.5551798 25.507  0.116 23.694  0.072  1.813  0.136
A313   190.9588237 +11.5761018 24.969  0.054 23.691  0.056  1.278  0.077
A314   190.9805460 +11.5875075 24.988  0.057 23.694  0.056  1.294  0.079
A317   190.9734158 +11.5388641 25.182  0.065 23.689  0.056  1.493  0.085
A318   190.9767325 +11.5767123 24.820  0.063 23.678  0.064  1.142  0.090
A319   190.9581971 +11.5526213 25.263  0.076 23.716  0.066  1.547  0.100
A320   190.9442396 +11.5737351 24.685  0.044 23.704  0.068  0.981  0.081
A322   190.9381098 +11.5611743 24.891  0.063 23.726  0.095  1.166  0.114
A323   190.9300340 +11.5589950 25.802  0.165 23.903  0.082  1.995  0.184
A324   190.9594277 +11.5622658 25.259  0.074 23.747  0.068  1.512  0.101
A325   190.9650240 +11.5908156 24.861  0.049 23.737  0.056  1.124  0.074
A326   190.9365244 +11.5734276 25.092  0.053 23.776  0.046  1.292  0.070
A327   190.9612578 +11.5426013 24.982  0.061 23.470  0.057  1.512  0.083
A328   190.9702635 +11.5514638 24.623  0.044 23.749  0.062  0.874  0.076
A329   190.9368858 +11.5548300 25.125  0.050 23.743  0.080  1.265  0.094
A330   190.9891781 +11.5542007 25.478  0.074 23.770  0.056  1.708  0.093
A331   190.9735416 +11.5585816 25.038  0.058 23.765  0.062  1.273  0.085
A333   190.9481529 +11.5627204 25.396  0.087 23.803  0.080  1.593  0.118
A334   190.9458289 +11.5803135 24.868  0.051 23.799  0.064  1.069  0.081
A335   190.9681266 +11.5459397 24.554  0.041 23.781  0.068  0.773  0.079
A337   190.9745170 +11.5423614 24.683  0.047 23.766  0.063  0.917  0.079
A338   190.9644587 +11.5583009 25.348  0.082 23.789  0.066  1.560  0.105
A340   190.9471300 +11.5577371 24.702  0.051 23.769  0.076  0.932  0.092
A342   190.9718973 +11.5623540 25.545  0.087 23.833  0.066  1.712  0.109
A345   190.9315480 +11.5684381 24.790  0.059 23.792  0.091  0.998  0.108
A346   190.9744397 +11.5358476 24.559  0.041 23.820  0.063  0.739  0.075
A347   190.9410189 +11.5635168 25.409  0.060 23.815  0.048  1.547  0.077
A348   190.9547093 +11.5825457 24.949  0.052 23.867  0.064  1.082  0.082
A349   190.9349188 +11.5598357 25.518  0.090 23.835  0.093  1.627  0.129
A350   190.9360562 +11.5606975 25.033  0.071 23.804  0.134  1.068  0.151
A353   190.9667936 +11.5507815 25.774  0.117 23.891  0.074  1.883  0.139
A355   190.9567877 +11.5495093 24.800  0.055 23.914  0.083  0.885  0.099
A357   190.9458359 +11.5819114 25.254  0.066 23.891  0.080  1.363  0.104
A358   190.9897111 +11.5753660 24.768  0.047 23.925  0.064  0.843  0.080
A361   190.9292526 +11.5668626 24.948  0.048 23.964  0.048  0.986  0.068
