# col1   col2         col3        col4     B           V       
  1      226.68125    55.922611   711.0    20.205      19.635  
  1      226.956333   55.662139   9999.0   23.637      23.067  
  1      226.557875   55.944194   9999.0   23.616001   23.047  
  1      226.719125   55.832028   881.0    22.378      21.81   
  1      226.692625   55.764083   885.0    23.307      22.743  
  1      226.70175    55.8425     9999.0   23.599      23.037  
  1      226.66533    55.75488    579.0    23.91       23.35   
  1      226.491458   55.610111   706.0    20.994999   20.438  
  1      226.407375   55.877111   702.0    20.866      20.31   
  1      226.696958   55.697389   1028.0   23.471      22.92   
  1      226.63212    55.78216    750.0    23.42       22.87   
  1      226.658583   55.811806   939.0    22.873999   22.324  
  1      226.778875   55.73675    9999.0   23.748999   23.199  
  1      226.535833   55.945972   597.0    19.402      18.854  
  1      226.577625   55.688028   9999.0   23.969002   23.422  
  1      226.545875   55.653583   814.0    21.473001   20.929  
  1      226.6165     55.638278   9999.0   23.285      22.742  
  1      226.486083   55.605806   739.0    24.012999   23.47   
  1      226.740875   55.819667   9999.0   22.909      22.369  
  1      226.806083   55.841056   9999.0   23.402      22.865  
  1      226.451083   55.670917   9999.0   22.63       22.094  
  1      226.563875   55.882278   9999.0   23.418999   22.883  
  1      226.504      55.596028   480.0    22.068      21.537  
  1      226.66237    55.77795    288.0    23.86       23.33   
  1      226.887458   55.720917   886.0    23.383999   22.855  
  1      226.692625   55.581833   959.0    21.701      21.179  
  1      226.692625   55.581833   569.0    21.701      21.179  
  1      226.7765     55.801056   876.0    19.963999   19.442  
  1      226.745083   55.65575    684.0    21.075      20.554  
  1      226.398667   55.810222   9999.0   24.225      23.705  
  1      226.438042   55.641972   519.0    22.926      22.412  
  1      226.55425    55.713667   9999.0   22.922      22.408  
  1      226.615208   55.799556   856.0    23.806      23.293  
  1      226.602083   55.912306   924.0    23.525      23.015  
  1      226.60296    55.75655    610.0    24.86       24.35   
