#  Table 3115.tab  Fri 16:12:25 15-Jan-2016

# row     SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA
#       pixel                                                            degrees

    1    0.00      2342.      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF
   27    1.54138   -7.55  0.00174  0.00173       84615.      118936.   -12.3
   28    1.57855   -7.49  0.00191  0.00191       92750.      139541.   -12.4
   29    1.61662   -7.45  0.00195  0.00195      110291.      159600.   -12.6
   30    1.65560    -7.4  0.00208  0.00207      117709.      184812.   -12.7
   31    1.69552   -7.36  0.00222  0.00222      132141.      218195.   -12.8
   32    1.73641   -7.32  0.00233  0.00232      152838.      247705.    -13.
   33    1.77828   -7.28  0.00246  0.00245      166220.      288307.   -13.1
   34    1.82116   -7.25  0.00259  0.00258      192074.      330151.   -13.2
   35    1.86508   -7.22  0.00265  0.00265      215428.      390152.   -13.3
   36    1.91005   -7.19  0.00276  0.00275      245928.      448820.   -13.5
   37    1.95611   -7.16  0.00292  0.00292      274154.      527548.   -13.6
   38    2.00328   -7.13  0.00277  0.00277      316144.      612601.   -13.7
   39    2.05158   -7.11   0.0027  0.00269      358520.      724382.   -13.9
   40    2.10105   -7.08   0.0023  0.00229      415056.      861619.    -14.
   41    2.15172   -7.05  0.00184  0.00184      487576.     1014594.   -14.2
   42    2.20360   -7.03  0.00155  0.00154      567511.     1197547.   -14.4
   43    2.25674   -7.01  0.00135  0.00135      659246.     1405807.   -14.5
   44    2.31116     -7.  0.00109  0.00109      770788.     1686871.   -14.7
   45    2.36689   -6.98  9.21E-4  9.20E-4      891052.     2004315.   -14.9
   46    2.42396   -6.97  7.33E-4  7.33E-4     1023370.     2391633.    -15.
   47    2.48241   -6.96  5.80E-4  5.80E-4     1186650.     2843468.   -15.2
   48    2.54228   -6.96  5.14E-4  5.14E-4     1367927.     3411608.   -15.3
   49    2.60358   -6.95  3.67E-4  3.67E-4     1604440.     4081127.   -15.5
   50    2.66636   -6.94  3.06E-4  3.07E-4     1882621.     4910338.   -15.7
   51    2.73066   -6.94  2.56E-4  2.56E-4     2199793.     5898983.   -15.9
   52    2.79650   -6.93  2.29E-4  2.29E-4     2509823.     7088479.    -16.
   53    2.86394   -6.93  1.72E-4  1.72E-4     3009155.     8536830.   -16.2
   54    2.93300   -6.92  1.49E-4  1.49E-4     3641885.     1.0248E7   -16.4
   55    3.00372   -6.92  1.10E-4  1.10E-4     4230398.     1.2367E7   -16.6
   56    3.07615   -6.92  1.08E-4  1.08E-4     5301670.     1.4891E7   -16.8
   57    3.15033   -6.91  9.28E-5  9.24E-5     6558987.     1.7979E7    -17.
   58    3.22630   -6.91  9.06E-5  9.03E-5     7860198.     2.1584E7   -17.2
   59    3.30409   -6.91  8.88E-5  8.83E-5     1.0142E7     2.5478E7   -17.5
   60    3.38377   -6.91  9.02E-5  9.05E-5     1.2211E7     2.9900E7   -17.7
   61    3.46536   -6.91  8.69E-5  8.74E-5     1.4713E7     3.4759E7   -17.9
   62    3.54893   -6.91  9.05E-5  9.01E-5     1.7690E7     3.9442E7   -18.1
   63    3.63450   -6.91  1.69E-4  1.69E-4     1.9503E7     4.4119E7   -18.2

# row  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4
#                                                                        

    1   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF
    2   -8.42      1      1   -0.0779  0.0478   -0.0159  0.0319   -0.0638
    3   -8.42      1      1   -0.0636  0.0444   -0.0052  0.0336   -0.0644
