#  Table ellipse_skysub.fits[1]  Wed 15:43:31 26-Oct-2016

# row     SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA
#       pixel                                                            degrees

    1    0.00     16120.      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF
   42   -18.6    445   1641    -0.645    2.11     0.109   0.448     0.833
   43   -18.8    531   1993     -1.95    1.66     0.202   0.569      0.24
   44    -19.    551   2393   -0.0936   0.065     0.063  0.0527   -0.0243
   45   -19.2   1259   2893     0.104  0.0689   0.00681   0.047    0.0513
   46   -19.4   1533   3521   0.00359  0.0358    0.0673  0.0422   0.00801
   47   -19.5   1845   4249   0.00506  0.0312   3.51E-4  0.0308    0.0901
   48   -19.7   2217   5145   -0.0345  0.0282   0.00403  0.0264    0.0369
   49   -19.9   2443   6221   0.00684  0.0199  -1.88E-4  0.0194    0.0343
   50   -20.1   2667   7521   -0.0106  0.0135    -0.017  0.0135   0.00509
   51   -20.2   3213   9101   0.00532 0.00898  -0.00185  0.0087   -0.0035
   52   -20.4   3721  11041   0.00637 0.00865  -0.00264 0.00833   0.00666
   53   -20.5   4561  13341   0.00557 0.00627  -0.00523 0.00606  -0.00771
   54   -20.7   5483  16141   0.00535  0.0045  -0.00327 0.00434   0.00116
   55   -20.8   6613  19525  -0.00563 0.00396   6.84E-4 0.00382  -0.00756
   56   -20.9   8035  23621  -0.00138 0.00323  -0.00199 0.00313  -9.15E-4
   57    -21.   9997  28593  -0.00225 0.00253  -0.00588 0.00246  -0.00132
   58   -21.1  12063  34577   0.00216 0.00233  -2.09E-5 0.00225  -0.00691
   59   -21.2  15197  41857  -0.00374 0.00251   0.00118 0.00244   0.00346
   60   -21.3  18415  50613  -0.00303 0.00273  -0.00886 0.00272   -0.0149
   61   -21.3  22831  61293     0.012 0.00535    0.0137 0.00523  -0.00236
   62   -21.4  28331  74157    0.0119   0.003  -0.00637 0.00291   1.66E-4
   63   -21.4  35869  89673  -0.00806 0.00334   0.00144 0.00326  -0.00411
   64   -21.5  44627 108529  -0.00265 0.00389    0.0118 0.00402   -0.0117
   65   -21.5  53973 131417    0.0255  0.0117  -0.00907  0.0109    0.0246
   66   -21.5  67833 158917   0.00701 0.00594   0.00544 0.00584   -0.0082
   67   -21.5  89731 192381  -0.00854 0.00898  -0.00837 0.00889   0.00721
   68   -21.5 108555 232737     0.026  0.0116   -0.0379  0.0116   -0.0511
   69   -21.5 131371 281641    0.0387  0.0173   -0.0284  0.0166   -0.0156
   70   -21.5 158983 340773   -0.0131  0.0131   -0.0168  0.0131     0.025
   71   -21.4 242917 412329    -0.053  0.0174     0.068  0.0181    0.0202
   72   -21.4 271731 498853    0.0062  0.0333   -0.0517  0.0372     0.034
   73   -21.3 361255 603677   -0.0443  0.0402   -0.0419  0.0385    -0.054

# row  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
#                                                                 pixel

    1   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
    2    91.2      35.4    88.6    13     0     1     4      71.5   2.0
    3    68.5      39.6    69.8    13     0     1     4      71.5   2.0
    4    51.6      39.8    56.4    13     0     1     4      71.5   2.0
    5    38.8      37.7    46.4    13     0     1     4      71.5   2.0
    6    28.9      32.6    37.4    13     0     1     4      71.5   2.0
    7    22.1      27.1     30.    13     0     1     4      71.5   2.0
    8    18.2      23.6    25.6    13     0     1     4      71.5   2.0
    9    16.2      20.9    22.7    13     0     1     4      71.5   2.0
   10    14.2      18.3    19.7    13     0     1     4      71.5   2.0
   11    12.4      15.4    16.7    13     0     1     4      71.5   2.0
   12    10.8      12.5    13.9    13     0     1     4      71.5   2.0
   13     9.2      9.91    11.3    13     0     1     4      71.5   2.0
   14    7.48      6.63    8.33    13     0     1     4      71.5   2.0
   15    6.06      3.69     5.8    13     0     1     4      71.5   2.0
   16    4.52      2.39    4.15    13     0     1     4      71.5   2.0
   17    3.57       1.8    3.17    13     0     1     4      71.5   2.0
   18    2.65      1.07     2.2    13     0     1     4      71.5   2.0
   19    1.86     0.429    1.35    13     0     1     4      79.2   2.0
   20    11.2     -0.21    1.88    13     0     1     4      71.5   2.0
   21   0.463    -0.532   0.531    14     0     1     4      71.5   2.0
   22   0.284    -0.423   0.434    14     0     1     4      71.5   2.0
   23   0.725    -0.123   0.449    14     0     1     4      119.   2.0
   24   0.256    -0.406   0.624    15     0     1     4      71.5   2.0
   25   0.104    -0.101   0.177    16     0     1     4      132.   2.0
   26   0.622    -0.436   0.706    16     0     1     4      112.   2.0
   27   0.123    -0.152   0.208    17     0     1     4      71.5   2.0
   28   0.299    -0.076   0.207    19     0     1     4      71.5   2.0
   29    0.11  -0.00545  0.0918    20     0     1     4      102.   2.0
   30    1.86     -0.82    4.93    21     0     1     4      71.5   2.0
   31   0.666    -0.225   0.649    24     0     1     4      121.   2.0
   32   0.467     0.825   0.788    26     0     1     4      113.   2.0
   33   0.995     0.558    1.94    28     0     1     4       96.   2.0
   34   0.856      1.23    1.24    31     0     1     4      71.5   2.0
   35   0.592     0.599   0.733    34     0     1     4      71.5   2.0
   36   0.412     0.441   0.532    38     0     1     4      71.5   2.0
   37   0.404     0.279    0.36    42     0     1     4      106.   2.0
   38   0.348   -0.0253   0.162    46     0     1     4      71.5   2.0
   39    0.12     0.139   0.176    50     0     1     4      71.5   2.0
   40   0.721   -0.0452   0.322    55     0     1     4      71.5   2.0
   41    1.48    -0.205   0.728    61     0     1     4      114.   2.0
   42    2.71    -0.777    2.52    67     0     2     4      71.5   2.0
   43   0.583     -1.01   0.969    73     0    15     0      8.56   2.0
   44  0.0461     0.044  0.0482    72     0    50     2      25.7   2.0
   45   0.053    0.0126  0.0473   120     0    50     2      41.5   2.0
   46  0.0356   -0.0113  0.0357   132     0    50     2       37.   2.0
   47  0.0399    0.0757  0.0371   145     0    12     0      16.7   2.0
   48   0.028    0.0324  0.0275   159     0    15     0       18.   2.0
   49   0.022    0.0232  0.0205   166     0    11     0      10.3   2.0
   50  0.0131    0.0186  0.0136   170     0    50     2      26.1   2.0
   51 0.00885   0.00666 0.00883   187     0    50     2      29.6   2.0
   52 0.00849    0.0131 0.00852   200     0    10     0      2.75   2.0
   53 0.00614    0.0126 0.00615   222     0    10     0      6.54   2.0
   54 0.00438    0.0106 0.00439   243     0    10     0     0.883   2.0
   55 0.00385    0.0095 0.00383   267     0    10     0      1.69   2.0
   56 0.00319    0.0043 0.00316   294     0    10     0        6.   2.0
   57 0.00247   0.00683 0.00246   329     0    10     0      0.52   2.0
   58 0.00229  -8.79E-4 0.00225   362     0    10     0     0.937   2.0
   59 0.00247  -0.00434 0.00245   408     0    10     0      1.96   2.0
   60 0.00276  -0.00949 0.00263   449     0    10     0      7.16   2.0
   61 0.00517   -0.0237 0.00524   502     0    10     0      41.4   2.0
   62 0.00294   0.00487 0.00292   561     0    10     0      1.88   2.0
   63 0.00326    0.0127 0.00328   634     0    35     0      29.8   2.0
   64 0.00402   0.00673 0.00387   709     0    50     2      39.8   2.0
   65  0.0115  -0.00989   0.011   780     0    50     2      83.5   2.0
   66 0.00589    0.0107  0.0059   878     0    50     2      42.2   2.0
   67 0.00888    0.0253 0.00925  1019     0    50     2       55.   2.0
   68  0.0118  -0.00761  0.0113  1121     0    50     2      37.3   2.0
   69  0.0161   -0.0229  0.0164  1233     0    50     2      53.4   2.0
   70  0.0133   -0.0225  0.0132  1356     0    13     0      21.3   2.0
   71  0.0162   -0.0737  0.0184  1708     0    46     0      43.9   2.0
