# col1     col2    col3    col4    col5    col6   col7 col8 col9 col10 col11  col12 col13 col14 col15 col16
  137.9223 59.9998 132.58  -37.57  -55.76  1353.0 1.0  0.01 0.0  0.78  -4.75  0.0   0.0   0.0   2.0   80.0 
  137.8682 59.9916 168.3   57.55   85.42   1387.0 1.0  0.01 0.0  0.57  -4.77  0.0   0.0   0.0   3.0   81.0 
  137.8556 59.9717 241.49  75.37   111.87  1281.0 1.0  0.01 0.0  0.48  -4.93  0.0   0.0   0.0   3.0   82.0 
  137.8531 59.9938 162.27  85.05   126.23  1393.0 1.0  0.01 0.0  0.3   -4.79  0.0   0.0   0.0   3.0   83.0 
  137.8459 59.9964 153.89  98.56   146.28  1072.0 1.0  0.0  0.0  0.63  -7.82  0.0   0.0   0.0   3.0   84.0 
  137.8979 60.0413 -13.58  15.99   23.73   1254.0 0.83 0.0  0.0  0.61  -5.3   0.0   0.0   0.0   1.0   85.0 
  137.8934 60.0411 -12.44  23.95   35.55   1391.0 0.63 0.01 0.0  1.12  -4.71  0.0   0.0   0.0   1.0   86.0 
  137.9072 60.0446 -26.66  0.13    0.19    1151.0 1.0  0.0  0.0  0.43  -6.95  0.0   0.0   0.0   1.0   87.0 
  137.9238 60.0306 21.86   -33.14  -49.19  1654.0 0.76 0.0  0.0  0.67  -9.27  0.0   0.0   0.0   1.0   88.0 
  137.9023 60.0304 24.97   5.46    8.1     1127.0 0.17 0.0  0.0  0.57  -5.67  0.0   0.0   0.0   1.0   89.0 
  137.9138 60.0328 14.96   -14.66  -21.76  1420.0 0.84 0.01 0.0  0.96  -5.03  0.0   0.0   0.0   1.0   90.0 
  137.8872 60.0385 -2.31   34.54   51.27   1334.0 0.52 0.0  0.0  0.94  -4.71  0.0   0.0   0.0   1.0   91.0 
  137.9108 60.031  21.91   -9.7    -14.4   1280.0 0.72 0.01 0.0  0.51  -4.89  0.0   0.0   0.0   1.0   92.0 
  137.8867 60.0304 26.92   33.51   49.74   1200.0 0.46 0.0  0.0  1.17  -5.42  0.0   0.0   0.0   1.0   93.0 
  137.8942 60.0321 19.97   20.31   30.15   1253.0 0.58 0.0  0.0  0.51  -4.96  0.0   0.0   0.0   1.0   94.0 
  137.8967 60.038  -1.72   17.38   25.79   1253.0 0.69 0.0  0.0  0.87  -5.14  0.0   0.0   0.0   1.0   95.0 
  137.9119 60.0354 5.85    -10.55  -15.66  1373.0 0.8  0.01 0.0  0.62  -4.7   0.0   0.0   0.0   1.0   96.0 
  137.9212 60.0328 14.06   -27.92  -41.44  1741.0 0.57 0.0  0.0  0.87  -11.95 0.0   0.0   0.0   1.0   97.0 
  137.893  60.0318 20.99   22.54   33.46   1250.0 0.56 0.0  0.0  0.92  -4.98  0.0   0.0   0.0   1.0   98.0 
  137.8794 60.042  -13.94  49.35   73.25   1214.0 0.52 0.0  0.0  1.12  -5.67  0.0   0.0   0.0   1.0   99.0 
  137.9031 60.0273 36.08   3.25    4.83    1510.0 1.0  0.0  0.0  1.05  -6.1   0.0   0.0   0.0   1.0   100.0
  137.9144 60.0298 25.85   -16.44  -24.4   1313.0 0.76 0.01 0.0  0.61  -4.77  0.0   0.0   0.0   1.0   101.0
  137.9044 60.0313 21.5    1.89    2.8     1588.0 1.0  0.0  0.0  0.79  -7.65  0.0   0.0   0.0   1.0   102.0
  137.9193 60.0359 3.13    -23.79  -35.31  1254.0 0.55 0.0  0.0  0.72  -5.07  0.0   0.0   0.0   1.0   103.0
  137.8966 60.038  -1.66   17.47   25.92   1446.0 0.66 0.0  0.0  0.87  -5.03  0.0   0.0   0.0   1.0   104.0
  137.9011 60.0426 -18.62  10.51   15.59   1507.0 0.43 0.0  0.0  0.89  -5.3   0.0   0.0   0.0   1.0   105.0
  137.8388 60.0006 139.46  112.34  166.72  1442.0 1.0  0.01 0.0  0.33  -5.04  0.0   0.0   0.0   3.0   106.0
